project_id,project_name,project_start_date,project_end_date,project_status,project_budget,researcher_id,publication_id,duration
DP1,Evaluasi Obat Anti-Inflamasi Baru,2020-01-01,2020-04-06,selesai,28902000,DR1027,PU2054,96 days
DP2,Optimalisasi Proses Produksi Obat Biotech,2020-01-22,2021-01-20,selesai,200484000,DR1018,PU2059,364 days
DP4,Pengembangan Sistem Pemantauan Kesehatan Digital,2020-04-03,2020-04-10,sedang berlangsung,155975000,DR1001,PU2098,7 days
DP5,Penelitian Ketahanan Antibiotik,2020-03-25,2021-02-18,sedang berlangsung,197903000,DR1034,PU2041,330 days
DP6,Optimasi Formula Dermatologi,2020-04-15,2021-06-03,selesai,187119000,DR1002,PU2035,414 days
DP7,Penelitian Bioavailabilitas Substansi Aktif 2,2020-06-05,2021-02-14,selesai,29304000,DR1017,PU2056,254 days
DP8,Pengembangan Antibiotik Spektrum Lebar,2020-05-28,2021-02-20,sedang berlangsung,156622000,DR1085,PU2013,268 days
DP9,Optimasi Formula Dermatologi 2,2020-06-18,2020-09-17,sedang berlangsung,292506000,DR1011,PU2011,91 days
DP10,Penelitian Efektivitas Suplemen Nutrisi,2020-09-07,2021-05-23,sedang berlangsung,156251000,DR1093,PU2052,258 days
DP11,Pengembangan Terapi Pengganti Hormon,2020-07-30,2021-07-18,selesai,37303000,DR1053,PU2066,353 days
DP12,Optimalisasi Proses Produksi Obat Biotech 2,2020-08-20,2021-07-25,selesai,138445000,DR1059,PU2021,339 days
DP13,Penelitian Efektivitas Suplemen Nutrisi 2,2020-10-09,2021-04-18,selesai,65079000,DR1082,PU2081,191 days
DP14,Optimasi Formula Dermatologi 3,2020-02-10,2021-09-28,selesai,86102000,DR1011,PU2094,596 days
DP15,Studi Klinis Vaksin Influenza,2020-10-23,2021-07-04,selesai,72074000,DR1083,PU2034,254 days
DP16,Pengujian Alat Diagnostik Portabel,2020-11-13,2021-09-29,selesai,253522000,DR1003,PU2061,320 days
DP17,Analisis Efek Samping Jangka Panjang Obat,2020-04-12,2021-05-02,sedang berlangsung,283309000,DR1083,PU2091,385 days
DP18,Pengembangan Antibiotik Spektrum Lebar 2,2020-12-25,2021-01-09,selesai,268514000,DR1000,PU2085,15 days
DP19,Pengembangan Terapi Pengganti Hormon 2,2021-01-15,2021-11-03,selesai,3923000,DR1093,PU2060,292 days
DP21,Pengembangan Terapi Pengganti Hormon 3,2021-02-27,2021-03-30,sedang berlangsung,124078000,DR1051,PU2092,31 days
DP22,Optimalisasi Proses Produksi Obat Biotech 3,2021-03-20,2021-12-14,sedang berlangsung,253846000,DR1091,PU2098,269 days
DP23,Penelitian Ketahanan Antibiotik 2,2021-10-04,2022-02-17,selesai,291130000,DR1032,PU2091,136 days
DP24,Pengembangan Terapi Pengganti Hormon 4,2021-01-05,2021-09-29,selesai,72506000,DR1086,PU2074,267 days
DP25,Penelitian Efektivitas Suplemen Nutrisi 3,2021-05-22,2022-02-28,selesai,264982000,DR1084,PU2008,282 days
DP26,Pengembangan Sistem Pemantauan Kesehatan Digital 2,2021-12-06,2022-10-06,sedang berlangsung,21438000,DR1099,PU2075,304 days
DP27,Analisis Efek Samping Jangka Panjang Obat 2,2021-04-07,2022-04-26,sedang berlangsung,42172000,DR1081,PU2081,384 days
DP28,Penelitian Ketahanan Antibiotik 3,2021-07-25,2022-01-15,selesai,296543000,DR1005,PU2027,174 days
DP30,Optimalisasi Proses Produksi Obat Biotech 4,2021-05-09,2022-02-09,sedang berlangsung,78516000,DR1069,PU2086,276 days
DP31,Pengujian Alat Diagnostik Portabel 3,2021-09-26,2022-08-06,sedang berlangsung,150753000,DR1009,PU2036,314 days
DP32,Penelitian Bioavailabilitas Substansi Aktif 3,2021-10-17,2022-03-24,sedang berlangsung,276757000,DR1046,PU2014,158 days
DP33,Penelitian Ketahanan Antibiotik 4,2021-08-11,2022-05-15,sedang berlangsung,224908000,DR1074,PU2003,277 days
DP34,Optimalisasi Proses Produksi Obat Biotech 5,2021-11-29,2022-09-14,sedang berlangsung,284518000,DR1093,PU2092,289 days
DP35,Penelitian Ketahanan Antibiotik 5,2021-12-20,2022-07-30,sedang berlangsung,42253000,DR1032,PU2084,222 days
DP36,Studi Pemetaan Genetik untuk Terapi Target,2022-10-01,2022-11-30,sedang berlangsung,77545000,DR1038,PU2072,60 days
DP37,Penelitian Bioavailabilitas Substansi Aktif 4,2022-01-31,2022-02-07,sedang berlangsung,177979000,DR1042,PU2043,7 days
DP38,Pengujian Alat Diagnostik Portabel 4,2022-02-21,2022-05-29,sedang berlangsung,292485000,DR1063,PU2099,97 days
DP39,Penelitian Bioavailabilitas Substansi Aktif 5,2022-03-15,2022-09-19,selesai,100194000,DR1023,PU2008,188 days
DP40,Studi Pemetaan Genetik untuk Terapi Target 2,2022-05-04,2023-06-02,sedang berlangsung,290821000,DR1040,PU2055,394 days
DP41,Penelitian Formulasi Obat Anti-Kanker,2022-04-26,2022-06-21,selesai,151784000,DR1063,PU2017,56 days
DP42,Penelitian Efektivitas Suplemen Nutrisi 4,2022-05-17,2022-06-26,sedang berlangsung,241403000,DR1063,PU2060,40 days
DP43,Analisis Efek Samping Jangka Panjang Obat 3,2022-07-06,2023-05-28,sedang berlangsung,227564000,DR1031,PU2032,326 days
DP45,Penelitian Ketahanan Antibiotik 6,2022-07-20,2023-03-01,selesai,134505000,DR1040,PU2083,224 days
DP46,Studi Pemetaan Genetik untuk Terapi Target 3,2022-10-08,2023-05-05,sedang berlangsung,228720000,DR1005,PU2027,209 days
DP47,Evaluasi Obat Anti-Inflamasi Baru 2,2022-08-31,2023-05-19,sedang berlangsung,73025000,DR1092,PU2095,261 days
DP48,Penelitian Efektivitas Suplemen Nutrisi 5,2022-09-21,2022-12-15,selesai,264008000,DR1079,PU2052,85 days
DP49,Studi Interaksi Obat pada Populasi Khusus,2022-12-10,2023-02-28,selesai,103438000,DR1082,PU2050,80 days
DP50,Penelitian Ketahanan Antibiotik 7,2022-02-11,2023-09-02,sedang berlangsung,147641000,DR1074,PU2080,568 days
DP51,Evaluasi Obat Anti-Inflamasi Baru 3,2022-11-23,2023-09-15,selesai,235653000,DR1040,PU2091,296 days
DP52,Pengembangan Antibiotik Spektrum Lebar 4,2022-12-15,2023-09-15,selesai,109035000,DR1025,PU2079,274 days
DP53,Studi Klinis Vaksin Influenza 2,2023-05-01,2023-10-21,selesai,289714000,DR1068,PU2026,173 days
DP54,Studi Pemetaan Genetik untuk Terapi Target 4,2023-01-26,2023-05-04,selesai,118749000,DR1049,PU2037,98 days
DP55,Analisis Efek Samping Jangka Panjang Obat 4,2023-02-16,2023-04-24,selesai,68249000,DR1082,PU2024,67 days
DP57,Analisis Efek Samping Jangka Panjang Obat 5,2023-03-30,2024-04-02,sedang berlangsung,109398000,DR1046,PU2040,369 days
DP58,Penelitian Efektivitas Suplemen Nutrisi 6,2023-04-21,2024-11-01,sedang berlangsung,260654000,DR1013,PU2052,560 days
DP59,Pengembangan Terapi Pengganti Hormon 5,2023-12-05,2024-08-04,sedang berlangsung,205808000,DR1021,PU2038,243 days
DP60,Studi Klinis Vaksin Influenza 3,2023-02-06,2023-07-11,selesai,133767000,DR1080,PU2019,155 days
DP61,Optimasi Formula Dermatologi 4,2023-06-23,2023-09-16,selesai,290142000,DR1081,PU2044,85 days
DP62,Analisis Efek Samping Jangka Panjang Obat 6,2023-07-14,2024-06-19,selesai,220641000,DR1094,PU2020,341 days
DP63,Pengembangan Terapi Pengganti Hormon 6,2023-04-08,2024-01-03,sedang berlangsung,86217000,DR1049,PU2063,270 days
DP64,Penelitian Formulasi Obat Anti-Kanker 2,2023-08-26,2024-04-18,sedang berlangsung,162132000,DR1051,PU2021,236 days
DP65,Studi Klinis Vaksin Influenza 4,2023-09-16,2024-05-28,sedang berlangsung,144988000,DR1014,PU2065,255 days
DP66,Penelitian Bioavailabilitas Substansi Aktif 7,2023-07-10,2024-01-07,sedang berlangsung,27725000,DR1030,PU2068,181 days
DP67,Studi Klinis Vaksin Influenza 5,2023-10-28,2024-01-10,sedang berlangsung,50326000,DR1010,PU2092,74 days
DP68,Pengembangan Antibiotik Spektrum Lebar 5,2023-11-18,2024-08-26,selesai,237566000,DR1085,PU2018,282 days
DP69,Pengembangan Terapi Pengganti Hormon 7,2023-09-12,2024-08-01,selesai,290920000,DR1004,PU2068,324 days
DP70,Pengembangan Sistem Pemantauan Kesehatan Digital 3,2023-12-31,2024-06-20,selesai,99245000,DR1007,PU2016,172 days
